groupe_sanguin;sexe;id_client;usage_vehicule;type_vehicule;date_demande;etat_dossier;formule;Presence_enfant;Tranche_revenus;Index_Personaliser;Tranche_Age_vehicule;Type_conduite_new;Typologie_employeur;Tranche_Age;Points_perdus_new;Enfant_conduite_accompagne_new;Tranche_Resid_Princ;Code_dept;Intervalle_Tarifs_Devis;Niveau_Instruction
B-;F;994635309;Commercial;Minivan;02/05/2022;complet;dev_express;Non;"[0; 20K€[";C22-1243;De 10 à 14 ans;Rural;Type S.A.R.L;40 à 59 ans;Non;Non;Sans précision;10;"[275€; 300€[";Licence/Bac+3
B+;M;302592534;Commercial;Sports Car;18/05/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-1247;De 5 à 9 ans;Urban;Type S.A.R.L;20 à 39 ans;Non;Non;"[150k€; 200k€[";74;"[250€; 275€[";Lycée ou après
B+;M;369429861;Private;Minivan;25/05/2022;complet;dev_premium;Non;"[20K€; 40K€[";C22-1251;De 5 à 9 ans;Rural;Type S.A;20 à 39 ans;Non;Non;"[150k€; 200k€[";59;"[350€; et plus[";Lycée ou après
B-;M;922516177;Private;Sports Car;04/05/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-1255;De 0 à 4 ans;Urban;Type S.A.S;60 à 79 ans;Oui;Oui;"[150k€; 200k€[";61;"[300€; 325€[";Licence/Bac+3
O+;F;533429603;Private;Pickup;16/04/2022;complet;dev_integral;Oui;"[120K€; Et plus [";C22-1259;De 10 à 14 ans;Urban;Type S.A.R.L;60 à 79 ans;Oui;Non;[300k€ à 350k€[;94;"[300€; 325€[";Master/Bac+5
O+;M;396892250;Private;Minivan;17/02/2022;complet;dev_integral;Non;"[0; 20K€[";C22-1263;De 0 à 4 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;Locataire;32;"[325€; 350€[";Avant Lycée
A-;M;918606594;Private;Minivan;25/04/2022;complet;dev_premium;Non;"[100K€; 120K€[";C22-1267;De 10 à 14 ans;Urban;Type S.A.R.L;80 ans à plus;Non;Non;Sans précision;38;"[350€; et plus[";Master/Bac+5
O+;F;486815695;Commercial;Panel Truck;24/03/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-1271;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[150k€; 200k€[";45;"[275€; 300€[";Avant Lycée
O-;F;996649251;Private;z_SUV;24/01/2022;complet;dev_express;Oui;"[0; 20K€[";C22-1275;De 5 à 9 ans;Rural;Sans précision;40 à 59 ans;Non;Non;"[50k€; 100k€[";38;"[275€; 300€[";Avant Lycée
B+;M;496476303;Private;Pickup;03/03/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-1279;De 5 à 9 ans;Rural;Sans précision;80 ans à plus;Non;Oui;Locataire;78;"[300€; 325€[";Lycée ou après
AB-;F;839427801;Private;Van;29/01/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-1283;De 10 à 14 ans;Urban;Type S.A.S;60 à 79 ans;Non;Non;"[350k€; et plus[";39;"[300€; 325€[";Doctorat/Bac+8
A-;F;803840924;Private;z_SUV;29/04/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-1287;De 0 à 4 ans;Rural;Type S.A;80 ans à plus;Non;Oui;"[100k€; 150k€[ ";69;"[325€; 350€[";Avant Lycée
A+;F;797320781;Private;Sports Car;11/01/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-1291;De 5 à 9 ans;Urban;Type S.A.R.L;60 à 79 ans;Non;Non;"[200k€; 250k€[";47;"[300€; 325€[";Lycée ou après
B+;F;967774042;Commercial;Pickup;11/05/2022;complet;dev_express;Oui;"[0; 20K€[";C22-1295;De 0 à 4 ans;Rural;Type S.A;40 à 59 ans;Oui;Non;"[50k€; 100k€[";34;"[275€; 300€[";Lycée ou après
AB+;F;456720318;Private;z_SUV;07/05/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-1299;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;Locataire;08;"[250€; 275€[";Lycée ou après
A-;M;888957957;Commercial;Minivan;08/02/2022;complet;dev_express;Non;"[80K€; 100K€[";C22-1303;De 0 à 4 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;Locataire;76;"[250€; 275€[";Lycée ou après
A-;F;551370243;Private;Minivan;01/02/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-1307;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;[300k€ à 350k€[;87;"[325€; 350€[";Master/Bac+5
AB+;F;460845643;Commercial;z_SUV;10/03/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-1311;De 10 à 14 ans;Urban;Type S.A.S;60 à 79 ans;Oui;Non;Locataire;18;"[300€; 325€[";Licence/Bac+3
AB+;F;18096053;Private;Minivan;08/03/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-1315;De 0 à 4 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;Locataire;12;"[300€; 325€[";Lycée ou après
O+;F;837810448;Private;z_SUV;27/05/2022;complet;dev_premium;Non;"[20K€; 40K€[";C22-1319;De 5 à 9 ans;Rural;Sans précision;40 à 59 ans;Oui;Non;"[150k€; 200k€[";91;"[350€; et plus[";Lycée ou après
B+;F;22905935;Private;Pickup;07/01/2022;complet;dev_vip;Non;"[60K€; 80K€[";C22-1323;De 5 à 9 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;"[250k€; 300k€[";93;"[350€; et plus[";Licence/Bac+3
O-;M;12136446;Private;Minivan;14/02/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-1327;De 0 à 4 ans;Urban;Type S.A;80 ans à plus;Non;Oui;"[100k€; 150k€[ ";78;"[250€; 275€[";Lycée ou après
O-;M;97750917;Private;Sports Car;21/02/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-1331;De 0 à 4 ans;Urban;Type S.A.R.L;20 à 39 ans;Non;Non;"[150k€; 200k€[";91;"[250€; 275€[";Licence/Bac+3
B+;M;708077771;Commercial;Van;09/04/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-1335;De 5 à 9 ans;Rural;Sans précision;40 à 59 ans;Non;Non;"[150k€; 200k€[";88;"[275€; 300€[";Licence/Bac+3
B+;F;361665026;Commercial;Minivan;25/03/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-1339;De 5 à 9 ans;Urban;Type S.A.S;60 à 79 ans;Oui;Non;"[200k€; 250k€[";43;"[300€; 325€[";Licence/Bac+3
A-;F;621496694;Private;z_SUV;31/03/2022;complet;dev_express;Oui;"[80K€; 100K€[";C22-1343;De 20 ans à plus;Urban;Sans précision;40 à 59 ans;Non;Non;"[250k€; 300k€[";13;"[250€; 275€[";Master/Bac+5
AB-;M;62746989;Private;Sports Car;02/02/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-1347;De 15 à 19 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;Locataire;48;"[275€; 300€[";Master/Bac+5
O-;M;430441105;Commercial;Pickup;08/05/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-1351;De 5 à 9 ans;Urban;Type S.A;40 à 59 ans;Non;Non;"[150k€; 200k€[";20;"[300€; 325€[";Licence/Bac+3
A+;M;694267964;Commercial;z_SUV;04/04/2022;complet;dev_integral;Oui;"[100K€; 120K€[";C22-1355;De 5 à 9 ans;Urban;Type S.A.R.L;20 à 39 ans;Non;Non;[300k€ à 350k€[;95;"[275€; 300€[";Master/Bac+5
B+;F;525918644;Private;Sports Car;11/01/2022;complet;dev_express;Oui;"[0; 20K€[";C22-1359;De 5 à 9 ans;Urban;Sans précision;20 à 39 ans;Oui;Oui;Locataire;63;"[250€; 275€[";Lycée ou après
B+;M;491709455;Commercial;Panel Truck;22/03/2022;complet;dev_express;Oui;"[120K€; Et plus [";C22-1363;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;[300k€ à 350k€[;11;"[275€; 300€[";Master/Bac+5
O+;M;132609655;Commercial;Sports Car;30/01/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-1367;De 0 à 4 ans;Urban;Type S.A;80 ans à plus;Non;Non;"[150k€; 200k€[";32;"[325€; 350€[";Lycée ou après
B+;M;549069454;Private;z_SUV;09/05/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-1371;De 0 à 4 ans;Urban;Type S.A.R.L;20 à 39 ans;Oui;Non;"[250k€; 300k€[";18;"[300€; 325€[";Lycée ou après
B-;M;920638735;Commercial;Minivan;11/04/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-1375;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[150k€; 200k€[";16;"[275€; 300€[";Lycée ou après
O-;M;249037674;Commercial;Van;10/01/2022;complet;dev_integral;Non;"[100K€; 120K€[";C22-1379;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;Locataire;13;"[300€; 325€[";Lycée ou après
O+;M;171275064;Private;z_SUV;26/03/2022;complet;dev_premium;Non;"[100K€; 120K€[";C22-1383;De 0 à 4 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;[300k€ à 350k€[;69;"[350€; et plus[";Lycée ou après
AB-;F;476931149;Commercial;Panel Truck;24/02/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-1387;De 10 à 14 ans;Urban;Sans précision;20 à 39 ans;Oui;Non;Sans précision;93;"[250€; 275€[";Master/Bac+5
B+;F;235798867;Commercial;Panel Truck;05/03/2022;complet;dev_integral;Oui;"[100K€; 120K€[";C22-1391;De 0 à 4 ans;Urban;Type S.A;Moins de 20 ans;Oui;Non;[300k€ à 350k€[;46;"[275€; 300€[";Licence/Bac+3
A-;F;131421512;Private;Minivan;30/04/2022;complet;dev_express;Non;"[0; 20K€[";C22-1395;De 10 à 14 ans;Urban;Sans précision;80 ans à plus;Non;Non;"[50k€; 100k€[";20;"[275€; 300€[";Master/Bac+5
B-;M;34434267;Private;Sports Car;26/01/2022;complet;dev_integral;Non;"[0; 20K€[";C22-1399;De 0 à 4 ans;Rural;Sans précision;20 à 39 ans;Non;Non;"[150k€; 200k€[";39;"[300€; 325€[";Lycée ou après
AB-;F;257833353;Private;Minivan;06/01/2022;complet;dev_vip;Oui;"[100K€; 120K€[";C22-1403;De 10 à 14 ans;Urban;Sans précision;80 ans à plus;Oui;Oui;"[250k€; 300k€[";19;"[350€; et plus[";Licence/Bac+3
B+;M;29775028;Private;Minivan;09/01/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-1407;De 10 à 14 ans;Urban;Sans précision;20 à 39 ans;Non;Non;"[150k€; 200k€[";38;"[325€; 350€[";Master/Bac+5
O-;M;713884148;Commercial;z_SUV;13/01/2022;complet;dev_integral;Oui;"[80K€; 100K€[";C22-1411;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Oui;Non;"[250k€; 300k€[";56;"[325€; 350€[";Licence/Bac+3
AB-;F;201054523;Private;Sports Car;10/05/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-1415;De 20 ans à plus;Urban;Type S.A;80 ans à plus;Oui;Non;Locataire;81;"[300€; 325€[";Doctorat/Bac+8
A-;M;794040462;Commercial;Panel Truck;02/03/2022;complet;dev_integral;Oui;"[80K€; 100K€[";C22-1419;De 0 à 4 ans;Rural;Type S.A;60 à 79 ans;Non;Non;"[250k€; 300k€[";57;"[325€; 350€[";Licence/Bac+3
A-;F;22460980;Private;Minivan;30/01/2022;complet;dev_express;Oui;"[60K€; 80K€[";C22-1423;De 15 à 19 ans;Urban;Type S.A.R.L;40 à 59 ans;Oui;Non;Sans précision;73;"[250€; 275€[";Master/Bac+5
A+;F;574158891;Private;z_SUV;14/04/2022;complet;dev_integral;Non;"[0; 20K€[";C22-1427;De 20 ans à plus;Urban;Sans précision;40 à 59 ans;Non;Non;"[150k€; 200k€[";40;"[275€; 300€[";Master/Bac+5
A-;M;557742413;Commercial;Panel Truck;29/05/2022;complet;dev_integral;Oui;"[120K€; Et plus [";C22-1431;De 15 à 19 ans;Urban;Type S.A.R.L;20 à 39 ans;Non;Non;Locataire;90;"[300€; 325€[";Master/Bac+5
O-;M;549986445;Private;Pickup;24/05/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-1435;De 15 à 19 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[100k€; 150k€[ ";66;"[250€; 275€[";Master/Bac+5
AB-;F;905883739;Commercial;Pickup;27/01/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-1439;De 10 à 14 ans;Rural;Sans précision;40 à 59 ans;Oui;Non;"[250k€; 300k€[";15;"[300€; 325€[";Lycée ou après
A-;F;593108777;Private;Van;07/05/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-1443;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[200k€; 250k€[";37;"[250€; 275€[";Licence/Bac+3
B+;M;757352494;Commercial;z_SUV;06/03/2022;complet;dev_premium;Oui;"[20K€; 40K€[";C22-1447;De 5 à 9 ans;Rural;Sans précision;60 à 79 ans;Non;Non;"[100k€; 150k€[ ";42;"[350€; et plus[";Lycée ou après
O+;M;42018118;Commercial;z_SUV;06/05/2022;complet;dev_express;Oui;"[40K€; 60K€[";C22-1451;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;Locataire;07;"[250€; 275€[";Licence/Bac+3
O-;F;760469299;Private;Minivan;23/01/2022;complet;dev_premium;Oui;"[40K€; 60K€[";C22-1455;De 0 à 4 ans;Rural;Type S.A;40 à 59 ans;Non;Non;Locataire;45;"[350€; et plus[";Lycée ou après
O-;M;676967525;Commercial;z_SUV;21/01/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-1459;De 0 à 4 ans;Urban;Sans précision;20 à 39 ans;Oui;Non;Sans précision;62;"[275€; 300€[";Avant Lycée
O-;M;944927413;Private;Minivan;24/05/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-1463;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Locataire;24;"[300€; 325€[";Avant Lycée
A-;F;62426525;Private;Minivan;23/04/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-1467;De 5 à 9 ans;Rural;Type S.A;20 à 39 ans;Oui;Non;"[100k€; 150k€[ ";93;"[275€; 300€[";Avant Lycée
O+;F;660380025;Private;z_SUV;19/02/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-1471;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[350k€; et plus[";30;"[250€; 275€[";Doctorat/Bac+8
B+;F;591330652;Private;Minivan;10/01/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-1475;De 5 à 9 ans;Rural;Sans précision;60 à 79 ans;Non;Non;Locataire;80;"[275€; 300€[";Lycée ou après
A+;M;195933426;Private;Sports Car;26/02/2022;complet;dev_premium;Oui;"[40K€; 60K€[";C22-1479;De 10 à 14 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;Locataire;12;"[350€; et plus[";Licence/Bac+3
AB+;F;753800009;Private;z_SUV;03/01/2022;complet;dev_express;Oui;"[0; 20K€[";C22-1483;De 10 à 14 ans;Urban;Type S.A.S;20 à 39 ans;Non;Oui;"[50k€; 100k€[";64;"[250€; 275€[";Licence/Bac+3
B+;M;229711979;Private;Minivan;27/01/2022;complet;dev_integral;Non;"[0; 20K€[";C22-1487;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[150k€; 200k€[";46;"[300€; 325€[";Master/Bac+5
AB+;M;270029813;Commercial;Panel Truck;26/05/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-1491;De 5 à 9 ans;Rural;Sans précision;80 ans à plus;Oui;Non;Sans précision;94;"[300€; 325€[";Avant Lycée
B+;F;949937496;Private;Minivan;07/03/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-1495;De 0 à 4 ans;Urban;Type S.A.S;40 à 59 ans;Oui;Non;Locataire;65;"[325€; 350€[";Avant Lycée
O-;F;167555506;Private;z_SUV;16/04/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-1499;De 0 à 4 ans;Urban;Type S.A.S;40 à 59 ans;Oui;Non;Locataire;64;"[275€; 300€[";Lycée ou après
B-;M;705235711;Private;z_SUV;23/05/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-1503;De 5 à 9 ans;Urban;Type S.A.R.L;40 à 59 ans;Oui;Non;"[150k€; 200k€[";11;"[250€; 275€[";Lycée ou après
A-;F;133422221;Private;z_SUV;08/01/2022;complet;dev_premium;Oui;"[20K€; 40K€[";C22-1507;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[100k€; 150k€[ ";59;"[350€; et plus[";Master/Bac+5
A-;M;854714763;Private;Minivan;29/05/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-1511;De 20 ans à plus;Urban;Type S.A.R.L;20 à 39 ans;Non;Non;"[200k€; 250k€[";46;"[325€; 350€[";Master/Bac+5
B+;M;343314151;Private;Minivan;10/01/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-1515;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Oui;Oui;"[150k€; 200k€[";18;"[300€; 325€[";Lycée ou après
AB-;F;927875675;Private;Minivan;18/04/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-1519;De 0 à 4 ans;Urban;Type S.A.R.L;40 à 59 ans;Non;Non;"[250k€; 300k€[";48;"[300€; 325€[";Master/Bac+5
B-;M;825541637;Private;Minivan;16/01/2022;complet;dev_express;Oui;"[120K€; Et plus [";C22-1523;De 15 à 19 ans;Urban;Type S.A;Moins de 20 ans;Oui;Non;"[350k€; et plus[";12;"[250€; 275€[";Doctorat/Bac+8
AB+;M;92691593;Commercial;Van;02/01/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-1527;De 5 à 9 ans;Urban;Type S.A;60 à 79 ans;Oui;Non;"[150k€; 200k€[";39;"[250€; 275€[";Lycée ou après
AB+;M;740607512;Commercial;Van;18/03/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-1531;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Locataire;85;"[325€; 350€[";Doctorat/Bac+8
AB+;M;528375582;Private;Sports Car;19/01/2022;complet;dev_premium;Non;"[120K€; Et plus [";C22-1535;De 10 à 14 ans;Urban;Type S.A;60 à 79 ans;Non;Non;"[350k€; et plus[";41;"[350€; et plus[";Master/Bac+5
AB+;M;685834429;Commercial;z_SUV;06/05/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-1539;De 10 à 14 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[150k€; 200k€[";03;"[275€; 300€[";Lycée ou après
B-;F;549794102;Commercial;z_SUV;27/04/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-1543;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Oui;Non;"[100k€; 150k€[ ";35;"[250€; 275€[";Lycée ou après
O-;M;720667319;Private;Minivan;16/02/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-1547;De 15 à 19 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;Locataire;08;"[275€; 300€[";Doctorat/Bac+8
AB+;F;514525729;Private;Pickup;06/03/2022;complet;dev_integral;Non;"[0; 20K€[";C22-1551;De 10 à 14 ans;Urban;Type S.A.R.L;80 ans à plus;Non;Non;"[150k€; 200k€[";71;"[275€; 300€[";Licence/Bac+3
B+;M;872514261;Private;z_SUV;07/01/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-1555;De 5 à 9 ans;Rural;Sans précision;20 à 39 ans;Non;Non;Locataire;15;"[250€; 275€[";Avant Lycée
AB+;M;895826770;Private;Minivan;23/02/2022;complet;dev_express;Oui;"[100K€; 120K€[";C22-1559;De 15 à 19 ans;Urban;Type S.A.R.L;60 à 79 ans;Non;Non;Locataire;80;"[250€; 275€[";Master/Bac+5
AB+;F;165295532;Private;z_SUV;11/04/2022;complet;dev_integral;Oui;"[100K€; 120K€[";C22-1563;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Non;Oui;[300k€ à 350k€[;15;"[275€; 300€[";Master/Bac+5
B-;F;214882221;Private;Sports Car;16/03/2022;complet;dev_integral;Non;"[0; 20K€[";C22-1567;De 15 à 19 ans;Urban;Sans précision;20 à 39 ans;Oui;Non;"[350k€; et plus[";53;"[300€; 325€[";Master/Bac+5
B+;F;342861311;Commercial;Minivan;13/05/2022;complet;dev_express;Non;"[0; 20K€[";C22-1571;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;Locataire;72;"[275€; 300€[";Lycée ou après
A-;M;429128652;Commercial;Panel Truck;08/01/2022;complet;dev_express;Non;"[100K€; 120K€[";C22-1575;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;[300k€ à 350k€[;25;"[275€; 300€[";Licence/Bac+3
A-;F;981057971;Private;Van;13/03/2022;complet;dev_express;Non;"[100K€; 120K€[";C22-1579;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Non;Non;[300k€ à 350k€[;68;"[250€; 275€[";Doctorat/Bac+8
O+;M;71181985;Commercial;Pickup;05/01/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-1583;De 5 à 9 ans;Urban;Type S.A.S;60 à 79 ans;Oui;Non;"[150k€; 200k€[";76;"[250€; 275€[";Lycée ou après
B-;F;931868441;Commercial;Pickup;17/02/2022;complet;dev_premium;Oui;"[60K€; 80K€[";C22-1587;De 5 à 9 ans;Urban;Sans précision;20 à 39 ans;Oui;Oui;"[150k€; 200k€[";49;"[350€; et plus[";Lycée ou après
AB-;M;639006903;Private;z_SUV;14/04/2022;complet;dev_premium;Non;"[0; 20K€[";C22-1591;De 15 à 19 ans;Rural;Type S.A.R.L;80 ans à plus;Non;Non;Locataire;44;"[325€; 350€[";Licence/Bac+3
A+;M;519292395;Private;z_SUV;10/02/2022;complet;dev_express;Non;"[0; 20K€[";C22-1595;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[100k€; 150k€[ ";11;"[250€; 275€[";Master/Bac+5
O-;M;986627860;Commercial;Minivan;17/04/2022;complet;dev_integral;Oui;"[80K€; 100K€[";C22-1599;De 5 à 9 ans;Rural;Sans précision;60 à 79 ans;Non;Oui;Locataire;43;"[275€; 300€[";Licence/Bac+3
A-;F;792196051;Commercial;Sports Car;15/02/2022;complet;dev_integral;Non;"[0; 20K€[";C22-1603;De 0 à 4 ans;Urban;Type S.A.R.L;Moins de 20 ans;Oui;Non;"[200k€; 250k€[";81;"[325€; 350€[";Lycée ou après
B-;M;607351322;Commercial;Panel Truck;07/04/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-1607;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;Sans précision;09;"[300€; 325€[";Master/Bac+5
A+;M;454175399;Private;z_SUV;11/01/2022;complet;dev_express;Oui;"[0; 20K€[";C22-1611;De 5 à 9 ans;Urban;Sans précision;80 ans à plus;Oui;Non;Locataire;46;"[250€; 275€[";Avant Lycée
AB+;M;611811934;Commercial;Panel Truck;29/01/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-1615;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Non;Non;Locataire;54;"[275€; 300€[";Doctorat/Bac+8
O+;M;790529683;Commercial;Panel Truck;27/01/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-1619;De 15 à 19 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;Locataire;14;"[250€; 275€[";Doctorat/Bac+8
AB-;F;206196303;Private;Minivan;09/04/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-1623;De 5 à 9 ans;Urban;Type S.A.R.L;Moins de 20 ans;Non;Non;Locataire;52;"[275€; 300€[";Lycée ou après
AB-;F;647719405;Commercial;z_SUV;04/02/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-1627;De 5 à 9 ans;Urban;Sans précision;20 à 39 ans;Non;Non;"[250k€; 300k€[";32;"[275€; 300€[";Lycée ou après
B-;M;594117257;Private;Minivan;13/04/2022;complet;dev_premium;Oui;"[60K€; 80K€[";C22-1631;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;"[200k€; 250k€[";25;"[350€; et plus[";Lycée ou après
B-;M;349489914;Commercial;Van;01/03/2022;complet;dev_premium;Non;"[0; 20K€[";C22-1635;De 10 à 14 ans;Urban;Sans précision;20 à 39 ans;Oui;Non;"[250k€; 300k€[";29;"[350€; et plus[";Doctorat/Bac+8
A-;F;877546076;Private;z_SUV;13/02/2022;complet;dev_premium;Non;"[0; 20K€[";C22-1639;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[50k€; 100k€[";20;"[325€; 350€[";Lycée ou après
B-;M;351251758;Commercial;Van;27/03/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-1643;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[100k€; 150k€[ ";51;"[300€; 325€[";Avant Lycée
B+;M;533416676;Private;Sports Car;26/03/2022;complet;dev_express;Non;"[100K€; 120K€[";C22-1647;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[250k€; 300k€[";83;"[250€; 275€[";Licence/Bac+3
AB-;F;616164342;Private;Pickup;05/04/2022;complet;dev_premium;Non;"[80K€; 100K€[";C22-1651;De 0 à 4 ans;Urban;Type S.A;80 ans à plus;Non;Non;[300k€ à 350k€[;74;"[350€; et plus[";Master/Bac+5
O-;F;592505103;Private;z_SUV;23/01/2022;complet;dev_premium;Non;"[0; 20K€[";C22-1655;De 15 à 19 ans;Rural;Type S.A.S;Moins de 20 ans;Oui;Non;"[50k€; 100k€[";18;"[350€; et plus[";Licence/Bac+3
A-;M;46413377;Commercial;Pickup;14/02/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-1659;De 15 à 19 ans;Urban;Type S.A.R.L;60 à 79 ans;Non;Non;Locataire;88;"[275€; 300€[";Master/Bac+5
AB+;F;671423077;Private;Pickup;31/03/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-1663;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[100k€; 150k€[ ";24;"[275€; 300€[";Master/Bac+5
A-;M;413358029;Private;Pickup;11/05/2022;complet;dev_integral;Non;"[0; 20K€[";C22-1667;De 0 à 4 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;Locataire;17;"[325€; 350€[";Avant Lycée
A-;F;993108634;Private;z_SUV;24/03/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-1671;De 0 à 4 ans;Urban;Sans précision;20 à 39 ans;Oui;Non;Locataire;21;"[325€; 350€[";Avant Lycée
AB+;M;597271892;Private;Pickup;29/03/2022;complet;dev_express;Non;"[0; 20K€[";C22-1675;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[100k€; 150k€[ ";85;"[250€; 275€[";Lycée ou après
AB+;F;617024306;Commercial;Panel Truck;02/01/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-1679;De 0 à 4 ans;Urban;Sans précision;20 à 39 ans;Non;Non;"[50k€; 100k€[";59;"[300€; 325€[";Avant Lycée
B+;M;952827285;Commercial;Pickup;29/05/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-1683;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Oui;Oui;"[150k€; 200k€[";16;"[325€; 350€[";Lycée ou après
A-;M;738770352;Private;Van;18/04/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-1687;De 15 à 19 ans;Urban;Type S.A.S;Moins de 20 ans;Oui;Non;Locataire;23;"[325€; 350€[";Master/Bac+5
